name,mass,charge,size,sigma_lsq
ALA,71.08,0.0,0.504,0.18588517491729833
ARG,156.2,1.0,0.6559999999999999,0.4199565346652317
ASN,114.1,0.0,0.568,0.1950879362267857
ASP,115.1,-1.0,0.5579999999999999,0.2839581649828277
CYS,103.1,0.0,0.5479999999999999,0.4171694299904823
GLN,128.1,0.0,0.602,0.23999451270129324
GLU,129.1,-1.0,0.5920000000000001,0.2095625750975703
GLY,57.05,0.0,0.45,0.17357704851312641
HIS,137.1,0.25,0.608,0.4330486154172854
ILE,113.2,0.0,0.618,0.17635348963309264
LEU,113.2,0.0,0.618,0.2171554419156802
LYS,128.2,1.0,0.636,0.17800844949339462
MET,131.2,0.0,0.618,0.22066541753068208
PHE,147.2,0.0,0.636,0.19499056068627973
PRO,97.12,0.0,0.556,0.41740048313847977
SER,87.08,0.0,0.518,0.4171694299904823
THR,101.1,0.0,0.562,0.42393882316206527
TRP,186.2,0.0,0.6779999999999999,0.4386907687835539
TYR,163.2,0.0,0.6459999999999999,0.24333600443457182
VAL,99.07,0.0,0.586,0.19219036569621226
